4x4 05.txt BFS AVG from:30iterations
Order, Duration, Visited, Processed, MaxDepth
LRUD, 479.333, 180, 86, 6
LRDU, 402.567, 158, 77, 6
LURD, 439.733, 206, 98, 6
LUDR, 397.5, 227, 108, 6
LDRU, 506, 179, 87, 6
LDUR, 408.233, 206, 99, 6
RLUD, 368.3, 172, 82, 6
RLDU, 377.233, 150, 73, 6
RULD, 427.8, 172, 82, 6
RUDL, 340.133, 172, 82, 6
RDLU, 350.367, 150, 73, 6
RDUL, 363.9, 150, 73, 6
ULRD, 444.133, 206, 98, 6
ULDR, 531.8, 227, 108, 6
URLD, 405.933, 198, 94, 6
URDL, 444.667, 198, 94, 6
UDLR, 430.5, 227, 108, 6
UDRL, 487.933, 220, 104, 6
DLRU, 432.533, 179, 87, 6
DLUR, 347.6, 206, 99, 6
DRLU, 320.967, 172, 83, 6
DRUL, 455.167, 172, 83, 6
DULR, 644.067, 206, 99, 6
DURL, 499.333, 199, 95, 6


4x4 06.txt BFS AVG from:30iterations
Order, Duration, Visited, Processed, MaxDepth
LRUD, 1071.97, 461, 218, 7
LRDU, 1355.67, 514, 243, 7
LURD, 1309.73, 496, 235, 7
LUDR, 1522.63, 614, 289, 7
LDRU, 1769.17, 630, 296, 7
LDUR, 1851.27, 666, 313, 7
RLUD, 1259.03, 371, 174, 7
RLDU, 1378.1, 424, 199, 7
RULD, 1280.5, 371, 174, 7
RUDL, 1539.5, 361, 170, 7
RDLU, 1258.5, 414, 195, 7
RDUL, 900.6, 414, 195, 7
ULRD, 1080.77, 496, 235, 7
ULDR, 1393.97, 614, 289, 7
URLD, 1039.73, 407, 193, 7
URDL, 751.2, 396, 189, 7
UDLR, 1290.2, 603, 285, 7
UDRL, 951.067, 515, 244, 7
DLRU, 1157.27, 620, 292, 7
DLUR, 1144.93, 655, 309, 7
DRLU, 932.433, 531, 249, 7
DRUL, 1075.87, 531, 249, 7
DULR, 1942.43, 655, 309, 7
DURL, 1049.27, 567, 268, 7


4x4 07.txt BFS AVG from:30iterations
Order, Duration, Visited, Processed, MaxDepth
LRUD, 2120.13, 668, 325, 8
LRDU, 2069.23, 661, 321, 8
LURD, 2161.03, 668, 325, 8
LUDR, 3853.53, 1098, 527, 8
LDRU, 2216.37, 1092, 524, 8
LDUR, 2732.93, 1092, 524, 8
RLUD, 999.267, 556, 269, 8
RLDU, 1130.97, 549, 265, 8
RULD, 1063.47, 556, 269, 8
RUDL, 1085.37, 565, 272, 8
RDLU, 1089.83, 558, 268, 8
RDUL, 970.9, 558, 268, 8
ULRD, 1455.17, 668, 325, 8
ULDR, 2218.13, 1098, 527, 8
URLD, 940.7, 556, 269, 8
URDL, 998.6, 565, 272, 8
UDLR, 2112, 1107, 530, 8
UDRL, 1765.27, 999, 475, 8
DLRU, 1958.67, 1101, 527, 8
DLUR, 2393.6, 1101, 527, 8
DRLU, 2295.43, 993, 472, 8
DRUL, 1598.5, 993, 472, 8
DULR, 1871.47, 1101, 527, 8
DURL, 1883.97, 993, 472, 8


4x4 08.txt BFS AVG from:30iterations 
Order, Duration, Visited, Processed, MaxDepth
LRUD, 7888.77, 2374, 1157, 9
LRDU, 8384.93, 2848, 1390, 9
LURD, 4500.93, 1871, 907, 9
LUDR, 4616.67, 2000, 969, 9
LDRU, 6547.77, 2972, 1449, 9
LDUR, 5938.2, 2493, 1213, 9
RLUD, 4840.97, 2268, 1103, 9
RLDU, 5255.8, 2744, 1337, 9
RULD, 3613.33, 1990, 965, 9
RUDL, 4061.7, 1999, 968, 9
RDLU, 5841.23, 2753, 1340, 9
RDUL, 5138.67, 2481, 1206, 9
ULRD, 2890.8, 1589, 767, 9
ULDR, 2921.47, 1720, 830, 9
URLD, 2716.5, 1481, 712, 9
URDL, 2804.93, 1490, 715, 9
UDLR, 2962.3, 1729, 833, 9
UDRL, 3267.63, 1621, 778, 9
DLRU, 5455.03, 2981, 1452, 9
DLUR, 4549.33, 2502, 1216, 9
DRLU, 5822.27, 2877, 1399, 9
DRUL, 4806.03, 2607, 1266, 9
DULR, 4323.7, 2228, 1081, 9
DURL, 4179.83, 2122, 1027, 9


4x4 09.txt BFS AVG from:30iterations 
Order, Duration, Visited, Processed, MaxDepth
LRUD, 9107.77, 2966, 1439, 10
LRDU, 8302.2, 3440, 1672, 10
LURD, 6104.37, 2916, 1404, 10
LUDR, 7703.33, 3849, 1859, 10
LDRU, 10797.6, 4334, 2110, 10
LDUR, 9450.63, 4309, 2090, 10
RLUD, 5884.37, 2860, 1385, 10
RLDU, 6660.6, 3336, 1619, 10
RULD, 5529.77, 2860, 1385, 10
RUDL, 5616.87, 2869, 1388, 10
RDLU, 6238.4, 3345, 1622, 10
RDUL, 6857.93, 3345, 1622, 10
ULRD, 5686.63, 2916, 1404, 10
ULDR, 7653.2, 3849, 1859, 10
URLD, 5322.6, 2820, 1353, 10
URDL, 5692.83, 2829, 1356, 10
UDLR, 7336.3, 3859, 1862, 10
UDRL, 6847.03, 3765, 1811, 10
DLRU, 8480.5, 4344, 2113, 10
DLUR, 8470.4, 4319, 2093, 10
DRLU, 8389.7, 4242, 2060, 10
DRUL, 8680.3, 4242, 2060, 10
DULR, 8436.5, 4319, 2093, 10
DURL, 8482.17, 4226, 2043, 10


4x4 10.txt BFS AVG from:30iterations 
Order, Duration, Visited, Processed, MaxDepth
LRUD, 32343.9, 7880, 3898, 11
LRDU, 23194.5, 9169, 4520, 11
LURD, 12599.4, 5371, 2618, 11
LUDR, 11827, 5492, 2678, 11
LDRU, 23010, 9286, 4576, 11
LDUR, 15129.9, 6902, 3372, 11
RLUD, 17520.8, 7777, 3845, 11
RLDU, 21046.2, 9069, 4469, 11
RULD, 15815.7, 7777, 3845, 11
RUDL, 15698.4, 7788, 3849, 11
