4x4 05.txt DFS AVG from:30iterations, max depth: 5
Order, Duration, Visited, Processed, MaxDepth
LRUD, 37.1667, 9098.5, 2836.5, 5
LRDU, 22, 24321.5, 7598, 5
LURD, 45.6, 44984, 14034, 5
LUDR, 80.5333, 76699, 23898.5, 5
LDRU, 46.5, 104366, 32552.5, 5
LDUR, 62.9, 130142, 40630, 5
RLUD, 36.7667, 153376, 47889.5, 5
RLDU, 29.7333, 167218, 52231, 5
RULD, 45.6333, 181216, 56619.5, 5
RUDL, 21.2667, 195058, 60961, 5
RDLU, 12.4667, 204282, 63892.5, 5
RDUL, 12.3, 211272, 66142.5, 5
ULRD, 45.2667, 229034, 71694, 5
ULDR, 76.4, 260749, 81558.5, 5
URLD, 47.8, 291501, 91127, 5
URDL, 38.5333, 315574, 98618.5, 5
UDLR, 64.7333, 342002, 106870, 5
UDRL, 74.9333, 372009, 116253, 5
DLRU, 43.4333, 394390, 123294, 5
DLUR, 71.1667, 415545, 129962, 5
DRLU, 38.9667, 435646, 136307, 5
DRUL, 33.8333, 450136, 140927, 5
DULR, 71.3667, 470625, 147392, 5
DURL, 67.3333, 496012, 155364, 5

4x4 06.txt DFS AVG from:30iterations, max depth: 6
Order, Duration, Visited, Processed, MaxDepth
LRUD, 218.667, 42873, 13299, 6
LRDU, 261.3, 136517, 42309.5, 6
LURD, 326.633, 244554, 75774.5, 6
LUDR, 459.4, 395320, 122418, 6
LDRU, 533.867, 577772, 178772, 6
LDUR, 740.367, 771174, 238488, 6
RLUD, 118.367, 890411, 275350, 6
RLDU, 134.7, 937735, 290020, 6
RULD, 56.5, 973506, 301148, 6
RUDL, 33.2333, 988112, 305803, 6
RDLU, 169.567, 1.02329e+06, 316786, 6
RDUL, 98.7333, 1.06775e+06, 330614, 6
ULRD, 232.733, 1.13141e+06, 350422, 6
ULDR, 464.667, 1.26114e+06, 390615, 6
URLD, 123.833, 1.36446e+06, 422633, 6
URDL, 121.4, 1.40825e+06, 436318, 6
UDLR, 293.7, 1.51362e+06, 469010, 6
UDRL, 307.167, 1.65355e+06, 512332, 6
DLRU, 496.767, 1.80147e+06, 558068, 6
DLUR, 530.1, 1.99289e+06, 617214, 6
DRLU, 310.5, 2.15941e+06, 668649, 6
DRUL, 327.8, 2.27856e+06, 705456, 6
DULR, 652.167, 2.42656e+06, 751221, 6
DURL, 400.033, 2.58713e+06, 800872, 6


4x4 07.txt DFS AVG from:30iterations, max depth: 7 
Order, Duration, Visited, Processed, MaxDepth
LRUD, 419.667, 75144, 23312, 7
LRDU, 405.467, 219871, 68215, 7
LURD, 338.3, 364938, 113210, 7
LUDR, 1061.07, 659981, 204468, 7
LDRU, 864.4, 1.09343e+06, 338454, 7
LDUR, 1034.77, 1.52624e+06, 472241, 7
RLUD, 57.8, 1.74488e+06, 539885, 7
RLDU, 53.3333, 1.76219e+06, 545368, 7
RULD, 37.7333, 1.78087e+06, 551284, 7
RUDL, 17.4667, 1.7957e+06, 556042, 7
RDLU, 11.4667, 1.80312e+06, 558526, 7
RDUL, 15.1, 1.80996e+06, 560835, 7
ULRD, 267.1, 1.89062e+06, 585948, 7
ULDR, 1014.3, 2.18821e+06, 678016, 7
URLD, 39.9, 2.41036e+06, 746751, 7
URDL, 21.2, 2.42576e+06, 751660, 7
UDLR, 751, 2.65064e+06, 821285, 7
UDRL, 539.867, 3.01069e+06, 932618, 7
DLRU, 837.667, 3.37266e+06, 1.04455e+06, 7
DLUR, 780.7, 3.79434e+06, 1.17495e+06, 7
DRLU, 647.533, 4.15016e+06, 1.28498e+06, 7
DRUL, 739.333, 4.44545e+06, 1.37629e+06, 7
DULR, 1103.27, 4.8081e+06, 1.48845e+06, 7
DURL, 853.667, 5.16677e+06, 1.59936e+06, 7


4x4 08.txt DFS AVG from:30iterations, max depth: 8 
Order, Duration, Visited, Processed, MaxDepth
LRUD, 3403.87, 673490, 208196, 8
LRDU, 5009.93, 2.34606e+06, 725158, 8
LURD, 1233.73, 3.62536e+06, 1.12062e+06, 8
LUDR, 1650.13, 4.36284e+06, 1.34865e+06, 8
LDRU, 4314.63, 5.97824e+06, 1.84785e+06, 8
LDUR, 3087.93, 7.91503e+06, 2.44632e+06, 8
RLUD, 2119.03, 9.29176e+06, 2.87181e+06, 8
RLDU, 3747.23, 1.08369e+07, 3.34935e+06, 8
RULD, 1209.83, 1.2131e+07, 3.74931e+06, 8
RUDL, 1174.77, 1.28615e+07, 3.97517e+06, 8
RDLU, 3046.8, 1.4183e+07, 4.38362e+06, 8
RDUL, 2305.73, 1.5835e+07, 4.89419e+06, 8
ULRD, 236.167, 1.66074e+07, 5.13303e+06, 8
ULDR, 891.967, 1.69051e+07, 5.22513e+06, 8
URLD, 35.4667, 1.71272e+07, 5.2939e+06, 8
URDL, 18.4333, 1.71427e+07, 5.29884e+06, 8
UDLR, 732.6, 1.73676e+07, 5.36849e+06, 8
UDRL, 486.567, 1.77277e+07, 5.47985e+06, 8
DLRU, 3745.6, 1.90577e+07, 5.89091e+06, 8
DLUR, 2463.23, 2.09834e+07, 6.48599e+06, 8
DRLU, 3732.23, 2.28671e+07, 7.06808e+06, 8
DRUL, 2881.23, 2.48075e+07, 7.66766e+06, 8
DULR, 1815.23, 2.62317e+07, 8.10776e+06, 8
DURL, 1898.47, 2.73061e+07, 8.43978e+06, 8


4x4 09.txt DFS AVG from:30iterations, max depth: 9 
Order, Duration, Visited, Processed, MaxDepth
LRUD, 3469.7, 673506, 208212, 9
LRDU, 5474.37, 2.34611e+06, 725204, 9
LURD, 3538.77, 4.08261e+06, 1.26201e+06, 9
LUDR, 7429.23, 6.44463e+06, 1.99216e+06, 9
