4x4 05.txt IDFS AVG from:30iterations, max depth: 6 
Order, Duration, Visited, Processed, MaxDepth
LRUD, 102.9, 18786, 5859, 5
LRDU, 84.2, 52759, 16470.5, 5
LURD, 103.933, 92171.5, 28756.5, 5
LUDR, 102.667, 142636, 44471, 5
LDRU, 68.3, 189054, 58975, 5
LDUR, 100.967, 233580, 72902.5, 5
RLUD, 99.8, 275563, 86012, 5
RLDU, 89.7, 308156, 96203.5, 5
RULD, 69.7333, 340903, 106442, 5
RUDL, 81.9, 373496, 116634, 5
RDLU, 49.5, 401469, 125415, 5
RDUL, 66.3333, 427209, 133515, 5
ULRD, 124.267, 463722, 144916, 5
ULDR, 137.933, 514186, 160631, 5
URLD, 127.333, 563688, 176050, 5
URDL, 111.167, 606512, 189391, 5
UDLR, 131.033, 651690, 203492, 5
UDRL, 121.533, 700446, 218726, 5
DLRU, 88.0667, 741577, 231616, 5
DLUR, 116.067, 781482, 244134, 5
DRLU, 83.0333, 820334, 256330, 5
DRUL, 73.3, 853574, 266800, 5
DULR, 80.9667, 892812, 279114, 5
DURL, 68, 936950, 292937, 5


4x4 06.txt IDFS AVG from:30iterations, max depth: 7 
Order, Duration, Visited, Processed, MaxDepth
LRUD, 532.033, 93620, 28892, 6
LRDU, 544.1, 285484, 88082.5, 6
LURD, 554.9, 491742, 151728, 6
LUDR, 779.933, 740726, 228550, 6
LDRU, 784.333, 1.0214e+06, 315086, 6
LDUR, 859.8, 1.31302e+06, 404981, 6
RLUD, 399.767, 1.53048e+06, 472023, 6
RLDU, 464.867, 1.67602e+06, 516874, 6
RULD, 346.667, 1.81001e+06, 558180, 6
RUDL, 300.533, 1.92284e+06, 593016, 6
RDLU, 300.933, 2.05624e+06, 634179, 6
RDUL, 238.333, 2.19891e+06, 678186, 6
ULRD, 348.867, 2.3608e+06, 728175, 6
ULDR, 529.233, 2.58875e+06, 798548, 6
URLD, 242.567, 2.79028e+06, 860746, 6
URDL, 231.433, 2.9323e+06, 904612, 6
UDLR, 555.233, 3.13589e+06, 967484, 6
UDRL, 627.1, 3.37404e+06, 1.04098e+06, 6
DLRU, 838.433, 3.62018e+06, 1.1169e+06, 6
DLUR, 728.467, 3.90982e+06, 1.20623e+06, 6
DRLU, 443.167, 4.17455e+06, 1.28784e+06, 6
DRUL, 546.667, 4.39193e+06, 1.35483e+06, 6
DULR, 564.367, 4.63815e+06, 1.43077e+06, 6
DURL, 499.667, 4.89694e+06, 1.5106e+06, 6


4x4 07.txt IDFS AVG from:30iterations, max depth: 8 
Order, Duration, Visited, Processed, MaxDepth
LRUD, 934.667, 177289, 54932, 7
LRDU, 967.867, 519716, 161035, 7
LURD, 923.533, 862484, 267230, 7
LUDR, 1290.47, 1.35523e+06, 419688, 7
LDRU, 1288.93, 1.98638e+06, 614874, 7
LDUR, 1589.9, 2.61688e+06, 809861, 7
RLUD, 593.267, 3.03322e+06, 938705, 7
RLDU, 485.433, 3.24824e+06, 1.00539e+06, 7
RULD, 546.1, 3.46462e+06, 1.0725e+06, 7
RUDL, 441.8, 3.67715e+06, 1.13846e+06, 7
RDLU, 428.933, 3.88227e+06, 1.20215e+06, 7
RDUL, 529.867, 4.0868e+06, 1.26566e+06, 7
ULRD, 906.5, 4.36516e+06, 1.35197e+06, 7
ULDR, 1502.27, 4.86045e+06, 1.50524e+06, 7
URLD, 478.867, 5.2803e+06, 1.63517e+06, 7
URDL, 433.8, 5.4934e+06, 1.70128e+06, 7
UDLR, 1268.83, 5.91598e+06, 1.8321e+06, 7
UDRL, 1099.1, 6.47373e+06, 2.00464e+06, 7
DLRU, 1740.53, 7.03341e+06, 2.17777e+06, 7
DLUR, 1244.27, 7.65278e+06, 2.36937e+06, 7
DRLU, 795.633, 8.20631e+06, 2.5406e+06, 7
DRUL, 935.633, 8.6993e+06, 2.69311e+06, 7
DULR, 1062.13, 9.25964e+06, 2.86647e+06, 7
DURL, 799.733, 9.81601e+06, 3.03858e+06, 7

